class,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60
1,203,215,200,195,217,216,205,237,310,512,826,1267,1798,2378,3048,3670,4304,4891,5479,5930,6357,6707,6957,7174,7321,7451,7511,7581,7614,7621,7603,7564,7565,7555,7508,7479,7437,7424,7518,7662,7909,8255,8713,9210,9677,10172,10676,11099,11489,11802,12031,12270,12421,12525,12622,12673,12660,12668,12653,12581,12528
1,139,125,134,139,129,141,144,120,217,343,623,1032,1506,2122,2719,3417,4086,4725,5323,5811,6299,6648,6976,7187,7366,7476,7564,7605,7600,7621,7580,7564,7504,7496,7440,7428,7393,7371,7324,7282,7246,7171,7114,7034,6974,6897,6816,6736,6662,6583,6508,6438,6424,6490,6650,6896,7247,7633,8058,8536,8986
2,466,480,477,484,490,475,474,483,634,1029,1800,2814,4180,5804,7507,9310,11095,12784,14383,15785,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16257,16044,15849,15635,15404
2,450,444,435,469,466,452,463,451,473,955,2335,4831,8450,13029,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383
0,257,212,239,240,224,239,224,243,242,337,421,548,728,940,1119,1367,1531,1728,1892,2007,2136,2222,2297,2343,2370,2361,2427,2427,2390,2424,2383,2374,2367,2368,2371,2348,2348,2310,2322,2286,2280,2220,2220,2182,2150,2117,2082,2083,2037,2029,1996,1986,1959,1940,1894,1888,1869,1842,1815,1793,1794
2,471,491,490,480,494,498,519,484,731,1299,2311,3731,5540,7596,9829,12164,14494,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383
1,210,220,188,216,199,204,227,197,292,474,750,1153,1638,2170,2753,3336,3907,4465,4964,5435,5851,6186,6491,6738,6936,7058,7197,7264,7301,7327,7359,7336,7315,7323,7235,7183,7143,7105,7035,6976,6941,6872,6801,6772,6742,6810,6934,7068,7328,7558,7816,8135,8377,8640,8866,9064,9214,9368,9451,9498,9503
0,210,203,199,192,194,194,206,209,329,553,891,1363,1940,2545,3206,3845,4496,5075,5631,6099,6505,6871,7154,7409,7547,7697,7746,7792,7797,7805,7803,7787,7784,7722,7705,7662,7617,7581,7522,7493,7428,7390,7317,7255,7196,7132,7024,6961,6832,6763,6663,6569,6493,6384,6293,6211,6116,6046,5958,5874,5802
2,471,455,456,478,466,481,462,477,606,1360,3185,6147,10139,14949,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383,16383
1,205,188,179,203,180,202,190,215,296,495,785,1179,1653,2215,2842,3451,4068,4667,5172,5676,6068,6393,6674,6875,7048,7132,7204,7221,7259,7226,7221,7194,7152,7137,7067,7031,6988,6920,6888,6830,6794,6820,6880,6953,7048,7191,7335,7461,7572,7696,7767,7867,7914,7945,7985,7977,7985,7940,7919,7850,7773
